ASOCIACION,SIGLAS,TIPO,DOMICILIO,CP,PREFIJO,TELEFONO,E-MAIL,DISTRITO, CLASIFICADA EN
CLUB DEPORTIVO FUTURO SAN FRANCISCO,,futbol,PLAZA SAN FRANCISCO DE ASIS 7 BAR CASTELLANOS,28802,91,880 72 88,,II,DEPORTIVAS
CLUB DEPORTIVO GRECO DISTRITO JUNCAL,,futbol,PLAZA SAN FRANCISCO DE ASIS 13 BAR CASIMIRO,28802,91,878 41 61,,II,DEPORTIVAS
CLUB DEPORTIVO HIPICA MILITAR DE ALCALA DE HENARES,,hípica,"CTRA MECO KM 1,5",28805,91,889 34 64,informacion@hipicadealcala.com,VI,DEPORTIVAS
CLUB DEPORTIVO IPLACEA,,varios,AVDA VIRGEN DEL VAL 8,28804,91,881 78 83,,V,DEPORTIVAS
CLUB DEPORTIVO JUAN DE AUSTRIA,,futbol,AVDA VIRGEN DEL VAL 17 3º B,28804,,655 97 42 27,,V,DEPORTIVAS
CLUB DEPORTIVO KARATE ANTONIO MACHADO,,karate,C/ PONCE DE LEON S/N,28802,,659 65 35 16,,II,DEPORTIVAS
CLUB DEPORTIVO MERCURIO,,futbol,AVDA REYES CATOLICOS 20 3º C,28802,91,888 66 77,pereo19@hotmail.com,II,DEPORTIVAS
CLUB DEPORTIVO MESON LA MANCHA,,futbol,C/ RIO NALON 1 2º A,28804,91,881 03 45,,IV,DEPORTIVAS
CLUB DEPORTIVO OLIMPIA,,karate,C/ INFANTADO 5,28807,91,880 56 07,giftsl@mi.madritel.es,VII,DEPORTIVAS
CLUB DEPORTIVO PABLO ARMENTEROS,,varios,C/ DE LA ROSA 1,28803,,639 47 16 75,karatejuarmenteros@hotmail.com,III,DEPORTIVAS
CLUB DEPORTIVO PELOTA CERVANTES,,pelota,AVDA JUAN DE AUSTRIA 3 5º C,28805,,,,VI,DEPORTIVAS
CLUB DEPORTIVO PETANCA HENARES,,petanca,C/ LUCAS LOZANO S/N,28803,91,280 09 71,,III,DEPORTIVAS
CLUB DEPORTIVO SAGITTA,,tiro,C/ BELVIS DEL JARAMA S/N,28806,91,888 48 99,sagittaclub@mixmail.com,VI,DEPORTIVAS
CLUB DEPORTIVO SANCHO PANZA,,aire libre,C/ ANDREA DORIA 9 5º B,28804,,,,V,DEPORTIVAS
"CLUB DEPORTIVO TIRO CON ARCO ""CERVANTES ALCALA""",,tiro,SERVICIO DEPORTES CAMPUS UNIVERSITARIO,28805,91,883 25 31,trosales@eresmas.com,VI,DEPORTIVAS
CLUB DEPORTIVO TORREJON PRACTICAL PISTOL TEAM,,tiro,C/ SIGUENZA 7 6º D,28804,,630 90 07 70,,IV,DEPORTIVAS
CLUB FRANCISCO DEL YERRO II,,halterofilia,C/ SOLIS S/N,28801,,,,I,DEPORTIVAS
CLUB FRONTENIS MECO,,pelota,AVDA JUAN DE AUSTRIA 3 5º C,28805,,,,VI,DEPORTIVAS
CLUB FUTBOL BRUJAS,,futbol,C/ RIO MANZANARES 7 1º D,28804,91,285 32 08,,IV,DEPORTIVAS
CLUB FUTBOL DINAMO DE ALCALA,,futbol,AVDA REYES CATOLICOS 43 2º C,28803,91,285 22 69,,III,DEPORTIVAS
CLUB FUTBOL RAYO DULCINEA DISTRITO VI,,futbol,C/ ALONSO SANCHEZ 8 BAR SANCHEZ,28805,91,880 67 98,,VI,DEPORTIVAS
CLUB GIMNASIA RITMICA DISTRITO III,,gimnasia,C/ MARQUES DE MONDEJAR S/N,28803,91,889 99 59,,III,DEPORTIVAS
CLUB GIMNASIA RITMICA IPLACEA ALKAL'A NAHAR,,gimnasia rítmica,C/ GIL DE ANDRADE 18 6º A,28804,,639 13 93 35,iplaceaalkala@msm.com,IV,DEPORTIVAS
CLUB HIPICO ALCALA,,hípica,ROTONDA DE LA BRIGADA PARACAIDISTICA 2,28805,91,889 34 64,,V,DEPORTIVAS
CLUB NATACION ALCALA,,natación,C/ FERRAZ 14 3º D,28807,,,,VII,DEPORTIVAS
CLUB PATIN ALCALA,,patinaje,AVDA VIRGEN DEL VAL 4,28804,,,,V,DEPORTIVAS
CLUB PATIN CERVANTES,,patinaje,C/ JUAN DE LA COSA 4,28802,91,881 60 17,,II,DEPORTIVAS
CLUB PETANCA REYES CATOLICOS,,petanca,C/ MARQUES DE MONDEJAR S/N,28803,91,888 66 64,,III,DEPORTIVAS
CLUB SAN ISIDRO COLON,,futbol,AVDA CABALLERIA ESPAÑOLA 10 BAR SAN ISIDRO,28805,,630 64 08 38,cfsanisidrocolon@hotmail.com,VI,DEPORTIVAS
CLUB VIOLETA FUTBOL SALA,CVFS,futbol,C/ RIO SORBE 1 1º C,28803,,678 55 74 53,,IV,DEPORTIVAS
CLUB VOLEIBOL ALCALA,,voleibol,AVDA VIRGEN DEL VAL 8,28804,91,888 19 94,postigo50@hotmail.com,V,DEPORTIVAS
DARDOS ALCALA,,dardos,C/ NUESTRA SEÑORA DE BELEN 22,28802,,,,II,DEPORTIVAS
DINAMO ALCALA CLUB FUTBOL,,futbol,AVDA REYES CATOLICOS 43 2º C,28803,91,285 22 69,,III,DEPORTIVAS
ESCUELA CICLISMO MAGRO,,ciclismo,C/ ANDRES SABORIT 1,28802,91,882 77 80,,II,DEPORTIVAS
ESCUELA DE TENIS ALCALA,,tenis,AVDA VIRGEN DEL VAL 4,28804,,699 05 32 64,alcalatenis@yahoo.es,V,DEPORTIVAS
FUTBOL CLUB ALBA HENARES,,futbol,C/ FEDERICO MOMPOU 4 2º B,28806,91,888 63 89,,VIII,DEPORTIVAS
FUTBOL CLUB KOSMOS,,futbol,C/ SANTA TERESA 3 4º D  ESC IZQ,28803,91,888 39 42,acanonuñez@es.ibm.com,III,DEPORTIVAS
GRUPO DE ORIENTACION COMPLUTENSE Y ACTIVIDADES EN LA NATURALEZA,GOCAN,orientación,AVDA LOPE DE FIGUEROA 31 7º A,28804,91,889 55 66,,V,DEPORTIVAS
JUDO COMPLUTENSE,,judo,C/ MANUEL MERINO 12,28804,,,,V,DEPORTIVAS
JUDO NEBRIJA,,judo,C/ CAMPO REAL 4 2º C,28806,,,,VIII,DEPORTIVAS
KARTING CLUB LOS SANTOS,,karting,C/ ANDRES SABORIT 5 1º,28802,,,,II,DEPORTIVAS
L Y E TORIBIO,,futbol,C/ MURCIA 17,28805,91,882 44 07,,VI,DEPORTIVAS
LOPE DE VEGA,,gimnasia,C/ LUIS DE MEDINA 12,28805,,,,VI,DEPORTIVAS
MOTORCLUB ALCALA,,motociclismo,C/ ANDRES SABORIT 5 1º,28802,,,,II,DEPORTIVAS
PARAPENTE ALCALA,,parapente,C/ MIGUEL ANGEL 1 7º D,28802,,,,II,DEPORTIVAS
PELOTA ALCALA DE HENARES,,pelota,C/ GOYA 4 1º C,28807,,609 78 77 00,,VII,DEPORTIVAS
PEÑA ATLETICA SAN ISIDRO,,futbol,AVDA JUAN DE AUSTRIA 26 ,28805,91,881 09 65,,V,DEPORTIVAS
PEÑA BARCELONISTA DE EXTREMADURA,,futbol,C/ MARQUES DE MONDEJAR S/N,28803,91,888 82 27,,III,DEPORTIVAS
PEÑA BARCELONISTA DE EXTREMADURA,,petanca,C/ MARQUES DE MONDEJAR S/N,28803,91,888 82 27,,III,DEPORTIVAS
PETANCA ALCALA,,petanca,AVDA VIRGEN DEL VAL 4,28804,,,,V,DEPORTIVAS
PETANCA LOS ARCOS DEL VAL,,petanca,AVDA JUAN DE AUSTRIA 30 BAR TAGOMAO,28804,91,880 16 11,,V,DEPORTIVAS
REAL SOCIEDAD DEPORTIVA ,,futbol,C/ PABLO CORONEL 6,28802,,,,II,DEPORTIVAS
REAL SOCIEDAD DEPORTIVA ALCALA,,futbol,C/ PORTILLA 6,28801,91,888 02 78,,I,DEPORTIVAS
SECCION ACCION DEPORTIVA ENSANCHE ALCALA,,varios,C/ GABRIELA MISTRAL 5 B11,28806,91,802 82 32,deportes@ensanche.org,VIII,DEPORTIVAS
SOCIEDAD CAZA CASABLANCA,,caza,C/ NUÑEZ DE GUZMAN 15,28802,,,,II,DEPORTIVAS
SOCIEDAD PESCADORES CERVANTES,,pesca,C/ ERAS DE SAN ISIDRO 4 BAJO D,28805,91,880 84 44,,VI,DEPORTIVAS
SPORTING ALCALA,,futbol,C/ PEDRO DE VALDIVIA 4,28802,91,889 77 98,,II,DEPORTIVAS
VETROTEX FUTBOL SALA,,futbol,AVDA LOPE DE FIGUEROA 41 7º B,28804,,649 93 79 93,jjsanchez@viadigital.net,V,DEPORTIVAS
AMPA CALASANZ,,AMPAS CC,C/ SANTIAGO 29,28801,91,889 29 00,ampa@calasanzalcala.com,I,EDUCATIVAS
AMPA COLEGIO DE EDUCACION ESPECIAL PABLO PICASSO,,AMPAS CP,AVDA DE CASTILLA S/N,28804,91,888 40 94,cpee.picasso.alcala@educa.madrid.org,V,EDUCATIVAS
AMPA CP ANTONIO MACHADO,,AMPAS CP,C/ JIMENEZ DE QUESADA 7,28802,91,881 55 57,,II,EDUCATIVAS
AMPA CP ANTONIO NEBRIJA,,AMPAS CP,C/ SAN IGNACIO DE LOYOLA 13,28806,91,888 23 68,,VIII,EDUCATIVAS
AMPA CP BEATRIZ GALINDO,,AMPAS CP,C/ VIOLETA 19,28803,91,889 80 64,,III,EDUCATIVAS
AMPA CP CARDENAL CISNEROS,,AMPAS CP,C/ SAN JUAN 2,28801,91,888 04 47,cpcardenalcisneros@yahoo.es,I,EDUCATIVAS
AMPA CP CIUDAD DEL AIRE,,AMPAS CP,C/ BARBERAN Y COLLAR S/N,28805,91,888 03 43,,VI,EDUCATIVAS
AMPA CP DAOIZ Y VELARDE,,AMPAS CP,C/ INFANTADO 2,28807,91,888 09 58,,VII,EDUCATIVAS
AMPA CP DOCTORA DE ALCALA,,AMPAS CP,C/ PEDRO SARMIENTO DE GAMBOA 11,28805,91,888 37 64,cpdoctora@yahoo.es,VI,EDUCATIVAS
AMPA CP DULCINEA,,AMPAS CP,CAMINO DE TEATINOS 10,28805,91,889 59 26,cp.dulcinea.alcala@educa.madrid.org,VI,EDUCATIVAS
AMPA CP EL JUNCAL,,AMPAS CP,AVDA NUÑEZ DE GUZMAN 31,28802,91,881 90 11,,II,EDUCATIVAS
AMPA CP EL VAL,,AMPAS CP,C/ AVILA S/N,28804,91,889 37 02,cp.val.alcala@educa.madrid.org,V,EDUCATIVAS
AMPA CP EMPERADOR FERNANDO,,AMPAS CP,C/ RONDA FISCAL 44,28803,91,882 33 34,,III,EDUCATIVAS
AMPA CP FRANCISCO DE QUEVEDO,,AMPAS CP,C/ SAN VIDAL 8,28803,91,880 78 35,,III,EDUCATIVAS
AMPA CP GARCIA LORCA,,AMPAS CP,C/ TORRELAGUNA 29,28806,91,888 82 02,garcialo@centros2.pntic.mec.es,VIII,EDUCATIVAS
AMPA CP HENARES,,AMPAS CP,C/ RIO GUADARRAMA 5,28803,91,889 90 76,,IV,EDUCATIVAS
AMPA CP INFANTA CATALINA,,AMPAS CP,C/ SAN VIDAL 6,28803,91,888 61 45,,III,EDUCATIVAS
AMPA CP IPLACEA,,AMPAS CP,C/ GUADARRAMA 1,28803,91,889 88 85,cp.iplacea.alcala@educa.madrid.org,IV,EDUCATIVAS
AMPA CP JUAN DE AUSTRIA,,AMPAS CP,AVDA JUAN DE AUSTRIA 17,28804,91,888 63 50,,VI,EDUCATIVAS
AMPA CP LA GARENA,,AMPAS CP,C/ ARTURO SORIA S/N,28806,,628 94 75 16,ampalagarena@yahoo.com,VIII,EDUCATIVAS
AMPA CP LUIS VIVES,,AMPAS CP,C/ LUIS VIVES 18,28803,91,880 67 91,,III,EDUCATIVAS
AMPA CP MANUEL AZAÑA,,AMPAS CP,AVDA DEL EJERCITO 5,28802,91,888 00 41,cp.manuelazana.alcala@educa.madrid.org,II,EDUCATIVAS
AMPA CP MIGUEL DE CERVANTES,,AMPAS CP,C/ GINER DE LOS RIOS 5,28804,91,888 99 73,,V,EDUCATIVAS
AMPA CP MIGUEL HERNANDEZ,,AMPAS CP,C/ LUIS DE MADRONA S/N,28805,91,888 30 40,cp.miguelhernandez.alcala@educa.madrid.org,VI,EDUCATIVAS
AMPA CP MOZART,,AMPAS CP,C/ DAMASO ALONSO 34,28806,91,878 44 27,,VIII,EDUCATIVAS
AMPA CP PABLO NERUDA,,AMPAS CP,CARRETERA DE CAMARMA S/N,28806,91,889 06 94,,VIII,EDUCATIVAS
AMPA CP REYES CATOLICOS,,AMPAS CP,C/ SAN VIDAL 4,28803,91,888 01 43,,III,EDUCATIVAS
AMPA CP SANTOS NIÑOS,,AMPAS CP,C/ NUESTRA SEÑORA DE BELEN S/N,28802,91,888 53 46,,II,EDUCATIVAS
AMPA CP ZULEMA,,AMPAS CP,C/ ENTREPEÑAS 2,28803,91,889 98 63,,IV,EDUCATIVAS
AMPA EI ARCO IRIS,,AMPAS EI,C/ VALVERDE DE ALCALA S/N,28806,91,881 14 81,escuelainfantilarcoiris@telefonica.net,VIII,EDUCATIVAS
AMPA EI CARRUSEL,,AMPAS EI,C/ VIOLETA S/N,28803,91,881 83 87,carruselinfancia@telefonica.net,III,EDUCATIVAS
AMPA EI GALATEA (La Rinconada),,AMPAS EI,C/ FUENTE DEL SOL 85,28803,91,880 85 70,,III,EDUCATIVAS
AMPA EI LA COMETA,,AMPAS EI,C/ CORDOBA 2,28804,91,883 23 56,,V,EDUCATIVAS
AMPA EI LA FLAUTA MAGICA,,AMPAS EI,C/ MARCELINO MENENDEZ Y PELAYO 49,28806,91,802 05 95,flautamagica@eiflautamagica.es,IX,EDUCATIVAS
AMPA EI LOS CUENTOS,,AMPAS EI,C/ JOSE CABALLERO 2,28805,91,883 27 70,,VI,EDUCATIVAS
AMPA EI LOS MOLINOS,,AMPAS EI,C/ JOSE RUIZ AZORIN 65,28806,91,883 11 21,,IX,EDUCATIVAS
AMPA EI PUERTA DE MADRID,,AMPAS EI,C/ JUAN DE VERGARA 6,28802,91,881 41 28,,II,EDUCATIVAS
AMPA ESCUELAS PIAS,,AMPAS CC,AVDA LOPE DE FIGUEROA 27,28804,91,889 31  58,,V,EDUCATIVAS
AMPA GABRIEL CELAYA (CP CRISTOBAL COLON),,AMPAS CP,C/ ADARGA 2,28805,91,878 71 77,,VI,EDUCATIVAS
AMPA GREDOS SAN DIEGO ALCALA,,AMPAS CC,C/ OCTAVIO PAZ 29,28806,91,830 38 64,,VIII,EDUCATIVAS
AMPA IES ALBENIZ,,AMPAS IES,C/ GARDENIA S/N,28803,91,881 68 12,,III,EDUCATIVAS
AMPA IES ALCALA NAHAR,,AMPAS IES,C/ AVILA 1,28804,91,881 93 11,,V,EDUCATIVAS
AMPA IES ALONSO DE AVELLANEDA,,AMPAS IES,C/ VITORIA 3,28804,91,888 11 74,,V,EDUCATIVAS
AMPA IES ALONSO QUIJANO,,AMPAS IES,PASEO DE LAS MORERAS 1,28803,91,882 14 11,,IV,EDUCATIVAS
AMPA IES ANTONIO MACHADO,,AMPAS IES,C/ ALALPARDO S/N,28806,91,889 24 50,ies.machado.alcala@educa.madrid.org,VIII,EDUCATIVAS
AMPA IES ARQUITECTO PEDRO GUMIEL,,AMPAS IES,C/ LOECHES 1,28806,91,889 81 62,iesarquitectopedro.alcala@educa.madrid.org,VIII,EDUCATIVAS
AMPA IES ATENEA,,AMPAS IES,C/ RIO ARLANZA 34,28803,91,881 00 32,ampatenea@telefonica.net,III,EDUCATIVAS
AMPA IES CARDENAL CISNEROS,,AMPAS IES,C/ CARDENAL SANDOVAL Y ROJAS 1,28802,91,881 72 63,,I,EDUCATIVAS
AMPA IES COMPLUTENSE,,AMPAS IES,C/ VALLADOLID 1,28804,91,889 07 22,i.complutense@terra.es,V,EDUCATIVAS
AMPA IES DOCTOR MARAÑON,,AMPAS IES,C/ ALEJO CARPENTIER 1,28806,91,878 81 37,,VIII,EDUCATIVAS
AMPA IES ESPARTALES,,AMPAS IES,C/ PIO BAROJA 7,28805,91,877 02 90,,VI,EDUCATIVAS
AMPA IES IGNACIO ELLACURIA,,AMPAS IES,C/ SENDA PERDIDA S/N,28805,91,882 34 30,,VI,EDUCATIVAS
AMPA IES ISIDRA DE GUZMAN,,AMPAS IES,C/ GARDENIA 29,28803,91,880 84 62,,III,EDUCATIVAS
AMPA IES MATEO ALEMAN ,,AMPAS IES,AVDA DEL EJERCITO 89,28802,91,888 22 64,ies.mateoaleman.alcala@educa.madrid.org,II,EDUCATIVAS
AMPA LOPE DE VEGA,,AMPAS CC,C/ LUIS DE MEDINA 12,28805,91,889 38 79,lopedevega@planalfa.es,VI,EDUCATIVAS
AMPA MINERVA,,AMPAS CC,C/ BATALLA DE LEPANTO 1,28804,91,888 13 62,,V,EDUCATIVAS
AMPA ROSALIA DE CASTRO (CP ESPARTALES),,AMPAS CP,C/ ROSALIA DE CASTRO S/N,28806,91,878 77 82,,VIII,EDUCATIVAS
AMPA SAGRADO CORAZON DE JESUS,,AMPAS CC,C/ ESCRITORIOS 6,28801,91,888 06 54,,I,EDUCATIVAS
AMPA SAN FELIPE NERI,,AMPAS CC,C/ SAN FELIPE NERI 4,28801,91,888 13 97,sfelipealcala@yahoo.es,I,EDUCATIVAS
AMPA SAN FRANCISCO DE ASIS,,AMPAS CC,C/ SANTIAGO 35,28801,91,888 00 31,,I,EDUCATIVAS
AMPA SAN GABRIEL,,AMPAS CC,"CARRETERA DE DAGANZO KM 2,300",28806,91,889 06 50,apa@colegiosangabriel.com,VIII,EDUCATIVAS
AMPA SAN IGNACIO DE LOYOLA,,AMPAS CC,C/ CONCEPCION ARENAL 3,28806,91,887 11 14,siloyolaah@planalfa.es,VI,EDUCATIVAS
AMPA SAN JOAQUIN Y SANTA ANA,,AMPAS CC,C/ SANTANDER 1,28804,91,889 46 42,sjsa@sanjoaquinysantaana.e.telefonica.net,V,EDUCATIVAS
AMPA STA Mª DE LA PROVIDENCIA,,AMPAS CC,C/ HUERTAS 4,28807,91,881 94 09,acpa@smprovidencia.org,VII,EDUCATIVAS
ANTIGUAS ALUMNAS FILIPENSES,,exalumnos,C/ ESCRITORIOS 4-6,28801,91,888 11 87,,I,EDUCATIVAS
ASOCIACION ANTIGUOS ALUMNOS DE ESCOLAPIOS,,exalumnos,C/ LOPE DE FIGUEROA 27 BAJO,28804,91,889 31 58,,V,EDUCATIVAS
ASOCIACION CIVIL CALIMERO,,educación infantil,AVDA REYES CATOLICOS 24,28802,91,882 74 63,,II,EDUCATIVAS
ASOCIACION CULTURAL DEL DON JUAN I,,exalumnos,C/ DAOIZ Y VELARDE 28,28807,91,881 51 56,,VII,EDUCATIVAS
ASOCIACION DE AMIGOS DE LA UNIVERSIDAD DE ALCALA,                                         ,universitarias,C/ SANTA URSULA 1 BAJO,28801,91,885 50 43,asociacionamigos.ua@uah.es,I,EDUCATIVAS
ASOCIACION DE ANTIGUAS ALUMNAS DE  EMA,,exalumnos,C/ ARCIPRESTE DE HITA S/N ESC MUNICIPAL PERSONAS ADULTAS,28801,91,882 46 91,ema@ayto-alcaladehenares.es,I,EDUCATIVAS
"ASOCIACION DE ANTIGUAS ALUMNAS EPA ""DON JUAN I""",,exalumnos,C/ DAOIZ Y VELARDE 28 ESCUELA ADULTOS DON JUAN I,28807,91,881 51 56,pumer_pumer@hotmail.com,VII,EDUCATIVAS
ASOCIACION DE ANTIGUOS ALUMNOS DE LA UNIVERSIDAD DE ALCALA,,exalumnos,C/ STA URSULA 1 1ª PLANTA,28801,91,885 50 31,antiguos.alumnos@uah.es,I,EDUCATIVAS
ASOCIACION DE ANTIGUOS ALUMNOS DE LA UNIVERSIDAD DE ALCALA,,universitarias,C/ SANTA URSULA 1 1ª PLANTA,28801,91,885 50 31,antiguos.alumnos@uah.es,I,EDUCATIVAS
ASOCIACION DE CIENCIAS AMBIENTALES,,universitarias,FACULTAD DE CC AMBIENTALES CAMPUS UNIVERSITARIO,28805,,,aca@ciencias-ambientales.org,VI,EDUCATIVAS
ASOCIACION DE ESTUDIANTES EXTRACOMUNITARIOS,AEX,univestritarias,PLAZA SAN DIEGO S/N OFICINA RELACIONES INTERNACIONALES,28801,91,885 40 85,aex.avisos@gmail.com,I,EDUCATIVAS
ASOCIACION DE ESTUDIANTES PARA LA INVESTIGACION Y DESARROLLO ,ASEDI,universitarias,ESCUELA POLITECNICA CAMPUS UNIVERSITARIO,28805,91,885 65 37,,VI,EDUCATIVAS
ASOCIACION DE ESTUDIANTES Y LICENCIADOS DE FARMACIA POR ALCALA ,AELFA,universitarias,FACULTAD DE FARMACIA CAMPUS UNIVERSITARIO,28805,91,885 46 65,aelfitos@gmail.com,VI,EDUCATIVAS
ASOCIACION DE MADRES PADRES Y TUTORES DE ALCALA DE HENARES DEL CENTRO OCUPACIONAL MUNICIPAL,,AMPAS varias,C/ SIGUENZA S/N CENTRO DE S SOCIALES,28804,91,882 92 21,com.amptah@hotmail.com,V,EDUCATIVAS
ASOCIACION DE PADRES DE NIÑOS DE HABLA POLACA,POLONICA,AMPAS varias,C/ ENTREPEÑAS 4 C COMERCIAL NUEVA ALCALA CC RAFAEL ALBERTI,28803,,661 20 20 47,asociacionpolonica@yahoo.com,IV,EDUCATIVAS
ASOCIACION DE PADRES DEL CONSERVATORIO DE MUSICA DE ALCALA DE HENARES,,AMPAS varias,C/ ALALPARDO S/N,28806,91,882 05 45,,VIII,EDUCATIVAS
ASOCIACION ERASMUS STUDENT NETWORK,ESN,universitarias,PLAZA DE LA VICTORIA S/N FACULTAD CCEE,28802,,637 70 90 25,info@esnalcala.org,I,EDUCATIVAS
ASOCIACION INFANTIL FROBEL,,educación infantil,AVDA REYES MAGOS 13,28806,91,880 22 43,cngarabatos@hotmail.com,VIII,EDUCATIVAS
ASOCIACION PABLO MONTESINOS,,educación infantil,C/ VIOLETA 17,28803,91,881 83 87,carruselinfancia@telefonica.net,III,EDUCATIVAS
ASOCIACION UNIVERSITARIA GURUCAN ,AUG,universitarias,"FACULTAD DE BIOLOGIA EDIFIC DE CIENCIAS CAMPUS UNIV CTRA MADRID BARCELONA KM 33,600",28805,91,889 22 07,,VI,EDUCATIVAS
AULA DE TEATRO,,escuela de teatro,C/ TRINIDAD 5,28801,91,883 28 69,teatro@cenah.es,I,EDUCATIVAS
AULA DE TEATRO,,universitarias,C/ TRINIDAD 5,28801,91,883 28 69,teatro@cenah.es,I,EDUCATIVAS
CORO DE LA UNIVERSIDAD DE ALCALA DE HENARES,,universitarias,DPTO QCA ORGANICA FACULTAD FARMACIA CAMPUS UNIVERSITARIO,28805,91,885 46 15,coro.universitario@uah.es,VI,EDUCATIVAS
DELEGACION DE ALUMNOS DE AMBIENTALES,,delegación de alumnos,CAMPUS UNIVERSITARIO FACULTAD DE CIENCIAS AMBIENTALES,28805,91,885 51 43,deleg.ambientales@alu.uah.es,VI,EDUCATIVAS
DELEGACION DE ALUMNOS DE BIBLIOTECONOMIA Y DOCUMENTACION,,delegación de alumnos,C/ SAN CIRILO S/N,28801,91,885 50 11,,I,EDUCATIVAS
DELEGACION DE ALUMNOS DE BIOLOGIA,,delegación de alumnos,CAMPUS UNIVERSITARIO FACULTAD DE CIENCIAS,28805,91,885 50 84,deleg.biologia@uah.es,VI,EDUCATIVAS
DELEGACION DE ALUMNOS DE CIENCIAS ECONOMICAS Y EMPRESARIALES,,delegación de alumnos,PLAZA DE LA VICTORIA 3,28802,91,885 42 59,deleg.fcee@uah.es,I,EDUCATIVAS
DELEGACION DE ALUMNOS DE DERECHO,,delegación de alumnos,C/ LIBREROS 17,28801,91,885 43 90,deleg.derecho@uah.es,I,EDUCATIVAS
DELEGACION DE ALUMNOS DE ENFERMERIA,,delegación de alumnos,CAMPUS UNIVERSITARIO ESCUELA DE ENFERMERIA Y FISIOTERAPIA,28805,91,885 48 12,deleg.enfer@uah.es,VI,EDUCATIVAS
DELEGACION DE ALUMNOS DE FARMACIA,,delegación de alumnos,CAMPUS UNIVERSITARIO FACULTAD DE FARMACIA,28805,91,885 46 65,deleg.farmacia@alu.uah.es,VI,EDUCATIVAS
DELEGACION DE ALUMNOS DE FILOSOFIA Y LETRAS,,delegación de alumnos,C/ COLEGIOS 2,28801,91,885 44 36,alum.fyletras@uah.es,I,EDUCATIVAS
DELEGACION DE ALUMNOS DE FISIOTERAPIA,,delegación de alumnos,CAMPUS UNIVERSITARIO ESCUELA DE ENFERMERIA Y FISIOTERAPIA,28805,91,885 48 11,deleg.fisio@uah.es,VI,EDUCATIVAS
DELEGACION DE ALUMNOS DE LA ESCUELA POLITECNICA DE LA UAH,,delegación de alumnos,CAMPUS UNIVERSITARIO ESCUELA POLITECNICA,28805,91,885 65 37,deleg.politecnico@uah.es,VI,EDUCATIVAS
DELEGACION DE ALUMNOS DE MEDICINA,,delegación de alumnos,CAMPUS UNIVERSITARIO FACULTAD DE MEDICINA,28805,91,885 45 59,delegacionmedicina@yahoo.es,VI,EDUCATIVAS
DELEGACION DE ALUMNOS DE QUIMICAS,,delegación de alumnos,CAMPUS UNIVERSITARIO FACULTAD DE CIENCIAS,28805,91,885 49 12,deleg.quimica@uah.es,VI,EDUCATIVAS
EALA ESCUELA DE TIEMPO LIBRE ,EALA,escuela de animación sociocultural ,AVDA DE LOS JESUITAS 34,28805,91,889 09 59,eala@navegalia.com,VI,EDUCATIVAS
ESCUELA DE ANIMACION SOCIOCULTURAL Y EDUCACION EN EL TIEMPO LIBRE HENAR,HENAR,escuela de animación sociocultural ,AVDA VIRGEN DEL VAL 2,28804,91,889 66 12,asociacion.henar@gmail.com,V,EDUCATIVAS
ESCUELA DE MUSICA MATEO DE TORRES,,escuela de música,RONDA FISCAL 38,28803,91,881 61 79,escuela@musicaenalcala.com,III,EDUCATIVAS
FEDERACION DE ASOCIACIONES DE PADRES DE ALUMNOS ,FAPA,AMPAS CP,C/ DAOIZ Y VELARDE 9 ,28807,91,883 49 89,,VII,EDUCATIVAS
FEDERACION ESPAÑOLA DE ESTUDIANTES DE FARMACIA,FEEF,universitarias,FACULTAD DE FARMACIA CAMPUS UNIVERSITARIO,28805,91,885 46 65,aelfitos@gmail.com,VI,EDUCATIVAS
GRUPO ORNITOLOGICO ALCEDO,,universitarias,FACULTAD DE BIOLOGIA CAMPUS UNIVERSITARIO,28805,91,885 40 00,goalcedo@hotmail.com,VI,EDUCATIVAS
IFMSA ALCALA,IFMSA,universitarias,FACULTAD DE MEDICINA CAMPUS UNIVERSITARIO,28805,91,885 45 59,ifmsaalcala@yahoo.es,VI,EDUCATIVAS
SOCIEDAD DE AMIGOS DEL JARDIN BOTANICO,,universitarias,JARDIN BOTANICO CAMPUS UNIVERSITARIO,28805,91,881 98 03,jardin.botanico@uah.es,VI,EDUCATIVAS
SOCIEDAD ESPAÑOLA PARA LA CONSERVACION Y EL ESTUDIO DE LOS MURCIELAGOS,SECEMU,universitarias,FACULTAD DE BIOLOGIA CAMPUS UNIVERSITARIO,28805,91,885 40 00,secemu@ctv.es,VI,EDUCATIVAS
ASOCIACION COMERCIAL Y EMPRESARIAL DEL CENTRO HISTORICO DE ALCALA DE HENARES,ACOCAMA,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION COMERCIANTES CHINOS DE ALCALA DE HENARES,,asociaciones de comerciantes,CAMINO VIEJO DE LA ESGARAVITA 32 BAJO LOCAL 11,28804,91,882 12 75,lili1967@hotmail.com,V,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE ARTESANOS DEL HENARES,,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
